ID,LIMIT_BAL,SEX_2,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_2,MARRIAGE_3,AGE,DEFAULT,pay_sum,utilization_ratio_mean,bill_trend,bill_sum,pay_trend,payment_sum,payment_ratio_mean,loss_given_default
1,20000,1,1,0,0,0,0,24,1,-2,0.0642,2568.0,7704,230.0,689,0.0057,7015
2,120000,1,1,0,0,1,0,26,1,3,0.0237,-966.0,17077,-333.0,5000,0.0069,12077
3,90000,1,1,0,0,1,0,34,0,0,0.1882,3999.0,101653,-994.0,11018,0.0204,90635
4,50000,1,1,0,0,0,0,37,0,0,0.7711,19231.0,231334,683.0,8388,0.028,222946
5,50000,0,1,0,0,0,0,57,0,-2,0.3645,-3032.0,109339,12771.0,59049,0.1968,50290
6,50000,0,0,0,0,1,0,37,0,0,0.7937,40013.0,238114,724.0,7772,0.0259,230342
7,500000,0,0,0,0,1,0,29,0,0,0.9082,-91535.0,2724595,28414.0,180759,0.0603,2543836
8,100000,1,1,0,0,1,0,23,0,-3,0.0225,4076.0,13486,-943.0,4791,0.008,8695
9,140000,1,0,1,0,0,0,28,0,2,0.0776,3255.0,65212,254.0,6761,0.008,58451
10,20000,0,0,1,0,1,0,35,0,-10,0.2243,-8973.0,26919,-4710.0,14129,0.1177,12790
11,200000,1,0,1,0,1,0,34,0,1,0.0287,6108.0,34467,-579.0,6472,0.0054,27995
12,260000,1,0,0,0,1,0,51,0,-3,0.0566,-192.0,88369,4809.0,66308,0.0425,22061
13,630000,1,1,0,0,1,0,41,0,-5,0.0108,3089.0,41007,1543.0,23370,0.0062,17637
14,70000,0,1,0,0,1,0,30,1,7,0.8064,19686.0,338685,567.0,10700,0.0255,327985
15,250000,0,0,0,0,1,0,29,0,0,0.2491,9808.0,373591,0.0,18000,0.012,355591
16,50000,1,0,1,0,0,1,23,0,3,0.6547,6463.0,196416,-333.0,6200,0.0207,190216
17,20000,0,0,0,0,1,0,24,1,8,0.8847,-1511.0,106161,1017.0,6350,0.0529,99811
18,320000,0,0,0,0,0,0,49,0,-3,0.5031,140985.0,966014,-56434.0,361897,0.1885,604117
19,360000,1,0,0,0,0,0,49,0,-9,0.0,0.0,0,0.0,0,0.0,0
20,180000,1,0,0,0,1,0,29,0,-9,0.0,0.0,0,0.0,0,0.0,0
21,130000,1,0,1,0,1,0,39,0,-1,0.1588,19062.0,123883,-10386.0,42231,0.0541,81652
22,120000,1,1,0,0,0,0,39,1,-6,0.0026,0.0,1896,-105.0,1580,0.0022,316
23,70000,1,1,0,0,1,0,26,1,8,0.6321,-2790.0,265475,56.0,11010,0.0262,254465
24,450000,1,0,0,0,0,0,40,1,-12,0.01,8615.0,26965,6778.0,22589,0.0084,4376
25,90000,0,0,0,0,1,0,23,0,-1,0.059,-2745.0,31864,1970.0,16400,0.0304,15464
26,50000,0,0,1,0,1,0,23,0,0,0.7143,12204.0,214295,303.0,7891,0.0263,206404
27,60000,0,0,0,0,1,0,27,1,-5,-0.0011,-52.0,-394,-167.0,2500,0.0069,-2894
28,50000,1,0,1,0,1,0,30,0,0,0.3742,-195.0,112268,29.0,7112,0.0237,105156
29,50000,1,0,1,0,0,0,47,0,-6,0.134,-8415.0,40208,-7269.0,39567,0.1319,641
30,50000,0,0,0,0,1,0,26,0,0,0.3236,573.0,97082,467.0,6600,0.022,90482
31,230000,1,0,0,0,1,0,27,0,-6,0.0824,-6464.0,113746,-1903.0,97489,0.0706,16257
32,50000,0,1,0,0,1,0,33,1,2,0.5062,4202.0,151869,501.0,6934,0.0231,144935
33,100000,0,0,0,0,1,0,32,0,0,0.8254,8246.0,495237,309.0,18744,0.0312,476493
34,500000,1,1,0,0,0,0,54,0,-12,0.0419,-16713.0,125744,-29834.0,158502,0.0528,-32758
35,500000,0,0,0,0,0,0,58,0,-12,0.0194,13791.0,58318,11101.0,45425,0.0151,12893
36,160000,0,0,0,0,1,0,30,0,-9,0.0264,11301.0,25312,-145.0,2280,0.0024,23032
37,280000,0,1,0,0,0,0,40,0,0,0.6369,8843.0,1069977,950.0,41923,0.025,1028054
38,60000,1,1,0,0,1,0,22,0,-1,0.0897,13192.0,32279,-14409.0,53349,0.1482,-21070
39,50000,0,0,0,0,1,0,25,1,-7,0.0026,260.0,780,260.0,780,0.0026,0
40,280000,0,0,0,0,1,0,31,0,-2,0.0307,-7738.0,51643,248.0,37357,0.0222,14286
